,sobreviveu,bilhete_classe,sexo,idade,familiares_1,familiares_2,bilhete_valor,embarque,conves
0,0,3,male,22.0,1,0,7.25,S,U
1,1,1,female,38.0,1,0,71.2833,C,C
2,1,3,female,26.0,0,0,7.925,S,U
3,1,1,female,35.0,1,0,53.1,S,C
4,0,3,male,35.0,0,0,8.05,S,U
5,0,3,male,28.0,0,0,8.4583,Q,U
6,0,1,male,54.0,0,0,51.8625,S,E
7,0,3,male,2.0,3,1,21.075,S,U
8,1,3,female,27.0,0,2,11.1333,S,U
9,1,2,female,14.0,1,0,30.0708,C,U
10,1,3,female,4.0,1,1,16.7,S,G
11,1,1,female,58.0,0,0,26.55,S,C
12,0,3,male,20.0,0,0,8.05,S,U
13,0,3,male,39.0,1,5,31.275,S,U
14,0,3,female,14.0,0,0,7.8542,S,U
15,1,2,female,55.0,0,0,16.0,S,U
16,0,3,male,2.0,4,1,29.125,Q,U
17,1,2,male,28.0,0,0,13.0,S,U
18,0,3,female,31.0,1,0,18.0,S,U
19,1,3,female,28.0,0,0,7.225,C,U
20,0,2,male,35.0,0,0,26.0,S,U
21,1,2,male,34.0,0,0,13.0,S,D
22,1,3,female,15.0,0,0,8.0292,Q,U
23,1,1,male,28.0,0,0,35.5,S,A
24,0,3,female,8.0,3,1,21.075,S,U
25,1,3,female,38.0,1,5,31.3875,S,U
26,0,3,male,28.0,0,0,7.225,C,U
27,0,1,male,19.0,3,2,263.0,S,C
28,1,3,female,28.0,0,0,7.8792,Q,U
29,0,3,male,28.0,0,0,7.8958,S,U
30,0,1,male,40.0,0,0,27.7208,C,U
31,1,1,female,28.0,1,0,146.5208,C,B
32,1,3,female,28.0,0,0,7.75,Q,U
33,0,2,male,66.0,0,0,10.5,S,U
34,0,1,male,28.0,1,0,82.1708,C,U
35,0,1,male,42.0,1,0,52.0,S,U
36,1,3,male,28.0,0,0,7.2292,C,U
37,0,3,male,21.0,0,0,8.05,S,U
38,0,3,female,18.0,2,0,18.0,S,U
39,1,3,female,14.0,1,0,11.2417,C,U
40,0,3,female,40.0,1,0,9.475,S,U
41,0,2,female,27.0,1,0,21.0,S,U
42,0,3,male,28.0,0,0,7.8958,C,U
43,1,2,female,3.0,1,2,41.5792,C,U
44,1,3,female,19.0,0,0,7.8792,Q,U
45,0,3,male,28.0,0,0,8.05,S,U
46,0,3,male,28.0,1,0,15.5,Q,U
47,1,3,female,28.0,0,0,7.75,Q,U
48,0,3,male,28.0,2,0,21.6792,C,U
49,0,3,female,18.0,1,0,17.8,S,U
50,0,3,male,7.0,4,1,39.6875,S,U
51,0,3,male,21.0,0,0,7.8,S,U
52,1,1,female,49.0,1,0,76.7292,C,D
53,1,2,female,29.0,1,0,26.0,S,U
54,0,1,male,65.0,0,1,61.9792,C,B
55,1,1,male,28.0,0,0,35.5,S,C
56,1,2,female,21.0,0,0,10.5,S,U
57,0,3,male,28.5,0,0,7.2292,C,U
58,1,2,female,5.0,1,2,27.75,S,U
59,0,3,male,11.0,5,2,46.9,S,U
60,0,3,male,22.0,0,0,7.2292,C,U
61,1,1,female,38.0,0,0,80.0,S,B
62,0,1,male,45.0,1,0,83.475,S,C
63,0,3,male,4.0,3,2,27.9,S,U
64,0,1,male,28.0,0,0,27.7208,C,U
65,1,3,male,28.0,1,1,15.2458,C,U
66,1,2,female,29.0,0,0,10.5,S,F
67,0,3,male,19.0,0,0,8.1583,S,U
68,1,3,female,17.0,4,2,7.925,S,U
69,0,3,male,26.0,2,0,8.6625,S,U
70,0,2,male,32.0,0,0,10.5,S,U
71,0,3,female,16.0,5,2,46.9,S,U
72,0,2,male,21.0,0,0,73.5,S,U
73,0,3,male,26.0,1,0,14.4542,C,U
74,1,3,male,32.0,0,0,56.4958,S,U
75,0,3,male,25.0,0,0,7.65,S,F
76,0,3,male,28.0,0,0,7.8958,S,U
77,0,3,male,28.0,0,0,8.05,S,U
78,1,2,male,0.83,0,2,29.0,S,U
79,1,3,female,30.0,0,0,12.475,S,U
80,0,3,male,22.0,0,0,9.0,S,U
81,1,3,male,29.0,0,0,9.5,S,U
82,1,3,female,28.0,0,0,7.7875,Q,U
83,0,1,male,28.0,0,0,47.1,S,U
84,1,2,female,17.0,0,0,10.5,S,U
85,1,3,female,33.0,3,0,15.85,S,U
86,0,3,male,16.0,1,3,34.375,S,U
87,0,3,male,28.0,0,0,8.05,S,U
88,1,1,female,23.0,3,2,263.0,S,C
89,0,3,male,24.0,0,0,8.05,S,U
90,0,3,male,29.0,0,0,8.05,S,U
91,0,3,male,20.0,0,0,7.8542,S,U
92,0,1,male,46.0,1,0,61.175,S,E
93,0,3,male,26.0,1,2,20.575,S,U
94,0,3,male,59.0,0,0,7.25,S,U
95,0,3,male,28.0,0,0,8.05,S,U
96,0,1,male,71.0,0,0,34.6542,C,A
97,1,1,male,23.0,0,1,63.3583,C,D
98,1,2,female,34.0,0,1,23.0,S,U
99,0,2,male,34.0,1,0,26.0,S,U
100,0,3,female,28.0,0,0,7.8958,S,U
101,0,3,male,28.0,0,0,7.8958,S,U
102,0,1,male,21.0,0,1,77.2875,S,D
103,0,3,male,33.0,0,0,8.6542,S,U
104,0,3,male,37.0,2,0,7.925,S,U
105,0,3,male,28.0,0,0,7.8958,S,U
106,1,3,female,21.0,0,0,7.65,S,U
107,1,3,male,28.0,0,0,7.775,S,U
108,0,3,male,38.0,0,0,7.8958,S,U
109,1,3,female,28.0,1,0,24.15,Q,U
110,0,1,male,47.0,0,0,52.0,S,C
111,0,3,female,14.5,1,0,14.4542,C,U
112,0,3,male,22.0,0,0,8.05,S,U
113,0,3,female,20.0,1,0,9.825,S,U
114,0,3,female,17.0,0,0,14.4583,C,U
115,0,3,male,21.0,0,0,7.925,S,U
116,0,3,male,70.5,0,0,7.75,Q,U
117,0,2,male,29.0,1,0,21.0,S,U
118,0,1,male,24.0,0,1,247.5208,C,B
119,0,3,female,2.0,4,2,31.275,S,U
120,0,2,male,21.0,2,0,73.5,S,U
121,0,3,male,28.0,0,0,8.05,S,U
122,0,2,male,32.5,1,0,30.0708,C,U
123,1,2,female,32.5,0,0,13.0,S,E
124,0,1,male,54.0,0,1,77.2875,S,D
125,1,3,male,12.0,1,0,11.2417,C,U
126,0,3,male,28.0,0,0,7.75,Q,U
127,1,3,male,24.0,0,0,7.1417,S,U
128,1,3,female,28.0,1,1,22.3583,C,F
129,0,3,male,45.0,0,0,6.975,S,U
130,0,3,male,33.0,0,0,7.8958,C,U
131,0,3,male,20.0,0,0,7.05,S,U
132,0,3,female,47.0,1,0,14.5,S,U
133,1,2,female,29.0,1,0,26.0,S,U
134,0,2,male,25.0,0,0,13.0,S,U
135,0,2,male,23.0,0,0,15.0458,C,U
136,1,1,female,19.0,0,2,26.2833,S,D
137,0,1,male,37.0,1,0,53.1,S,C
138,0,3,male,16.0,0,0,9.2167,S,U
139,0,1,male,24.0,0,0,79.2,C,B
140,0,3,female,28.0,0,2,15.2458,C,U
141,1,3,female,22.0,0,0,7.75,S,U
142,1,3,female,24.0,1,0,15.85,S,U
143,0,3,male,19.0,0,0,6.75,Q,U
144,0,2,male,18.0,0,0,11.5,S,U
145,0,2,male,19.0,1,1,36.75,S,U
146,1,3,male,27.0,0,0,7.7958,S,U
147,0,3,female,9.0,2,2,34.375,S,U
148,0,2,male,36.5,0,2,26.0,S,F
149,0,2,male,42.0,0,0,13.0,S,U
150,0,2,male,51.0,0,0,12.525,S,U
151,1,1,female,22.0,1,0,66.6,S,C
152,0,3,male,55.5,0,0,8.05,S,U
153,0,3,male,40.5,0,2,14.5,S,U
154,0,3,male,28.0,0,0,7.3125,S,U
155,0,1,male,51.0,0,1,61.3792,C,U
156,1,3,female,16.0,0,0,7.7333,Q,U
157,0,3,male,30.0,0,0,8.05,S,U
158,0,3,male,28.0,0,0,8.6625,S,U
159,0,3,male,28.0,8,2,69.55,S,U
160,0,3,male,44.0,0,1,16.1,S,U
161,1,2,female,40.0,0,0,15.75,S,U
162,0,3,male,26.0,0,0,7.775,S,U
163,0,3,male,17.0,0,0,8.6625,S,U
164,0,3,male,1.0,4,1,39.6875,S,U
165,1,3,male,9.0,0,2,20.525,S,U
166,1,1,female,28.0,0,1,55.0,S,E
167,0,3,female,45.0,1,4,27.9,S,U
168,0,1,male,28.0,0,0,25.925,S,U
169,0,3,male,28.0,0,0,56.4958,S,U
170,0,1,male,61.0,0,0,33.5,S,B
171,0,3,male,4.0,4,1,29.125,Q,U
172,1,3,female,1.0,1,1,11.1333,S,U
173,0,3,male,21.0,0,0,7.925,S,U
174,0,1,male,56.0,0,0,30.6958,C,A
175,0,3,male,18.0,1,1,7.8542,S,U
176,0,3,male,28.0,3,1,25.4667,S,U
177,0,1,female,50.0,0,0,28.7125,C,C
178,0,2,male,30.0,0,0,13.0,S,U
180,0,3,female,28.0,8,2,69.55,S,U
181,0,2,male,28.0,0,0,15.05,C,U
182,0,3,male,9.0,4,2,31.3875,S,U
183,1,2,male,1.0,2,1,39.0,S,F
184,1,3,female,4.0,0,2,22.025,S,U
185,0,1,male,28.0,0,0,50.0,S,A
186,1,3,female,28.0,1,0,15.5,Q,U
187,1,1,male,45.0,0,0,26.55,S,U
188,0,3,male,40.0,1,1,15.5,Q,U
189,0,3,male,36.0,0,0,7.8958,S,U
190,1,2,female,32.0,0,0,13.0,S,U
191,0,2,male,19.0,0,0,13.0,S,U
192,1,3,female,19.0,1,0,7.8542,S,U
193,1,2,male,3.0,1,1,26.0,S,F
194,1,1,female,44.0,0,0,27.7208,C,B
195,1,1,female,58.0,0,0,146.5208,C,B
196,0,3,male,28.0,0,0,7.75,Q,U
197,0,3,male,42.0,0,1,8.4042,S,U
198,1,3,female,28.0,0,0,7.75,Q,U
199,0,2,female,24.0,0,0,13.0,S,U
200,0,3,male,28.0,0,0,9.5,S,U
201,0,3,male,28.0,8,2,69.55,S,U
202,0,3,male,34.0,0,0,6.4958,S,U
203,0,3,male,45.5,0,0,7.225,C,U
204,1,3,male,18.0,0,0,8.05,S,U
205,0,3,female,2.0,0,1,10.4625,S,G
206,0,3,male,32.0,1,0,15.85,S,U
207,1,3,male,26.0,0,0,18.7875,C,U
208,1,3,female,16.0,0,0,7.75,Q,U
209,1,1,male,40.0,0,0,31.0,C,A
210,0,3,male,24.0,0,0,7.05,S,U
211,1,2,female,35.0,0,0,21.0,S,U
212,0,3,male,22.0,0,0,7.25,S,U
213,0,2,male,30.0,0,0,13.0,S,U
214,0,3,male,28.0,1,0,7.75,Q,U
215,1,1,female,31.0,1,0,113.275,C,D
216,1,3,female,27.0,0,0,7.925,S,U
217,0,2,male,42.0,1,0,27.0,S,U
218,1,1,female,32.0,0,0,76.2917,C,D
219,0,2,male,30.0,0,0,10.5,S,U
220,1,3,male,16.0,0,0,8.05,S,U
221,0,2,male,27.0,0,0,13.0,S,U
222,0,3,male,51.0,0,0,8.05,S,U
223,0,3,male,28.0,0,0,7.8958,S,U
224,1,1,male,38.0,1,0,90.0,S,C
225,0,3,male,22.0,0,0,9.35,S,U
226,1,2,male,19.0,0,0,10.5,S,U
227,0,3,male,20.5,0,0,7.25,S,U
228,0,2,male,18.0,0,0,13.0,S,U
229,0,3,female,28.0,3,1,25.4667,S,U
230,1,1,female,35.0,1,0,83.475,S,C
231,0,3,male,29.0,0,0,7.775,S,U
232,0,2,male,59.0,0,0,13.5,S,U
233,1,3,female,5.0,4,2,31.3875,S,U
234,0,2,male,24.0,0,0,10.5,S,U
235,0,3,female,28.0,0,0,7.55,S,U
236,0,2,male,44.0,1,0,26.0,S,U
237,1,2,female,8.0,0,2,26.25,S,U
238,0,2,male,19.0,0,0,10.5,S,U
239,0,2,male,33.0,0,0,12.275,S,U
240,0,3,female,28.0,1,0,14.4542,C,U
241,1,3,female,28.0,1,0,15.5,Q,U
242,0,2,male,29.0,0,0,10.5,S,U
243,0,3,male,22.0,0,0,7.125,S,U
244,0,3,male,30.0,0,0,7.225,C,U
245,0,1,male,44.0,2,0,90.0,Q,C
